dataset,task,horizon,fold,model,MAE,RMSE,R2,n,fit_seconds
ETTh1,forecast,1,fold1,Persistence,0.733042021551066,1.057196084658432,0.952345202087695,2880,0.0
ETTh1,forecast,1,fold1,SeasonalNaive,0.9674337139146196,1.3697236475087595,0.9200052570050172,2880,0.0
ETTh1,forecast,1,fold1,Ridge,0.7676001097340792,1.072097912327872,0.9509922864813316,2880,0.04
ETTh1,forecast,1,fold1,LightGBM,0.7015639322851333,1.023573875041626,0.9553281513115006,2880,1.02
ETTh1,forecast,1,fold2,Persistence,0.6055492012878585,0.9209888673591206,0.9659449374322964,2928,0.0
ETTh1,forecast,1,fold2,SeasonalNaive,0.8220594544879725,1.2183472953148975,0.9404042721338896,2928,0.0
ETTh1,forecast,1,fold2,Ridge,0.7763961705140724,1.0872884509409615,0.9525362037112476,2928,0.07
ETTh1,forecast,1,fold2,LightGBM,0.5779212246038055,0.8855566572901339,0.9685148602099084,2928,2.17
ETTh1,forecast,1,fold3,Persistence,0.4196710720819832,0.5936335245742889,0.9607916145398282,2952,0.0
ETTh1,forecast,1,fold3,SeasonalNaive,0.5748906066706834,0.768071718261064,0.9343634616018712,2952,0.0
ETTh1,forecast,1,fold3,Ridge,0.4732906217617055,0.6166924937867161,0.9576864517032668,2952,0.09
ETTh1,forecast,1,fold3,LightGBM,0.412250839363674,0.5774029530060735,0.9629063028199945,2952,1.31
ETTh1,forecast,1,fold4,Persistence,0.4509805198337721,0.66589131064825,0.9553393220023828,2875,0.0
ETTh1,forecast,1,fold4,SeasonalNaive,0.6036591384307198,0.8803354228684949,0.9219424400968332,2875,0.0
ETTh1,forecast,1,fold4,Ridge,0.4654576670115123,0.6707643504901418,0.9546832702186042,2875,0.11
ETTh1,forecast,1,fold4,LightGBM,0.4138780509145893,0.6257559365675972,0.9605607567412138,2875,1.29
ETTh1,forecast,24,fold1,Persistence,2.4939941097050906,3.2807165303545096,0.5441592246554229,2880,0.0
ETTh1,forecast,24,fold1,SeasonalNaive,3.86059411433008,5.11098882821178,-0.1063323715802977,2880,0.0
ETTh1,forecast,24,fold1,Ridge,3.4060004563705206,4.273382026383589,0.2265732387853176,2880,0.04
ETTh1,forecast,24,fold1,LightGBM,2.5074811257778076,3.137757488523562,0.5830206900570191,2880,2.41
ETTh1,forecast,24,fold2,Persistence,1.958558390700752,2.6840211519413972,0.7089843168136268,2928,0.0
ETTh1,forecast,24,fold2,SeasonalNaive,3.022973365471011,4.157554136227069,0.3017348743269179,2928,0.0
ETTh1,forecast,24,fold2,Ridge,4.559718849573429,5.922202204561752,-0.4168079641003877,2928,0.06
ETTh1,forecast,24,fold2,LightGBM,1.926511888963202,2.5219185494202674,0.7430748384853243,2928,1.45
ETTh1,forecast,24,fold3,Persistence,1.533194788305094,1.96831536997698,0.5488182136238842,2952,0.0
ETTh1,forecast,24,fold3,SeasonalNaive,2.465149399367613,3.1085117390589247,-0.1252971409863825,2952,0.0
ETTh1,forecast,24,fold3,Ridge,2.23508584914617,2.74209812863781,0.1243547893131684,2952,0.08
ETTh1,forecast,24,fold3,LightGBM,1.5958863345264869,2.0809247528287367,0.4957162841289487,2952,1.24
ETTh1,forecast,24,fold4,Persistence,1.7474046268227392,2.30681625494855,0.4624606911786102,2852,0.0
ETTh1,forecast,24,fold4,SeasonalNaive,2.520637802852822,3.36154715756563,-0.1414651033030085,2852,0.0
ETTh1,forecast,24,fold4,Ridge,2.0343555229356234,2.555211460340693,0.3404648962096269,2852,0.1
ETTh1,forecast,24,fold4,LightGBM,1.6679377382302558,2.170740668517693,0.5240075018565284,2852,1.58
ETTh1,forecast,168,fold1,Persistence,3.382123948012789,4.443677002863521,0.1470283983272743,2880,0.0
ETTh1,forecast,168,fold1,SeasonalNaive,5.534597217146721,7.212741378725344,-1.2472444945941763,2880,0.0
ETTh1,forecast,168,fold1,Ridge,6.565960450848123,7.702034987448864,-1.5624805564032105,2880,0.04
ETTh1,forecast,168,fold1,LightGBM,3.1790379145405576,4.107766785960045,0.2711113920800096,2880,2.34
ETTh1,forecast,168,fold2,Persistence,2.9157889192221593,3.801670641754345,0.4322561295911193,2928,0.0
ETTh1,forecast,168,fold2,SeasonalNaive,4.9717666957873465,6.421862038409217,-0.6200388101812835,2928,0.0
ETTh1,forecast,168,fold2,Ridge,6.866857594455487,8.254476925341889,-1.676594565080226,2928,0.06
ETTh1,forecast,168,fold2,LightGBM,2.485924613514714,3.0686425005535347,0.6300900038393515,2928,1.52
ETTh1,forecast,168,fold3,Persistence,2.4650210071970937,3.096888772744473,-0.3233430815161935,2952,0.0
ETTh1,forecast,168,fold3,SeasonalNaive,4.185173783956101,5.222500460688808,-2.7633811902790706,2952,0.0
ETTh1,forecast,168,fold3,Ridge,4.980925636740429,5.816963949566832,-3.6688936400105465,2952,0.08
ETTh1,forecast,168,fold3,LightGBM,2.3134763886879126,2.9302227205037448,-0.1847384923309254,2952,7.64
ETTh1,forecast,168,fold4,Persistence,3.1158836683261164,4.035341563734282,-0.7927314389740914,2708,0.0
ETTh1,forecast,168,fold4,SeasonalNaive,5.647086769243375,7.203988792285065,-4.713479723242564,2708,0.0
ETTh1,forecast,168,fold4,Ridge,2.7723891096368787,3.344441140061711,-0.2314073673364962,2708,0.1
ETTh1,forecast,168,fold4,LightGBM,2.504175420101335,3.20226821174344,-0.1289378707833599,2708,2.1
ETTh1,nowcast,0,fold1,TrainMean,4.707763801535999,6.013875500988193,-0.5422430182267668,2880,0.0
ETTh1,nowcast,0,fold1,Ridge,4.207917383067513,5.21466092106964,-0.1595676606053695,2880,0.05
ETTh1,nowcast,0,fold1,LightGBM,5.486081275299725,6.545731797945255,-0.8270917647241787,2880,1.95
ETTh1,nowcast,0,fold2,TrainMean,4.423024518658992,5.317218659546453,-0.1353645444603195,2928,0.0
ETTh1,nowcast,0,fold2,Ridge,8.3273336032885,10.769772505103436,-3.657784021621647,2928,0.07
ETTh1,nowcast,0,fold2,LightGBM,3.2734890429211236,4.041197546375152,0.3441772940082402,2928,16.83
